,이름,연식,주행거리,연료,배기량,색상,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격),가격,신차대비가격,링크
0,현대 그랜저HG 300,114,180900,2,2999,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,3.0,1981920,0.0,0,8200000,25,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161935&gubun=K
1,현대 그랜저 뉴,164,265753,1,2656,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,4.0,3274363,6.0,2834910,3990000,15,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161119&gubun=K
2,현대 그랜저HG 300,80,89076,1,2999,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,2.0,1904690,0.0,0,11200000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160506&gubun=K
3,현대 그랜저HG 300,122,111306,2,2999,검정색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,5.0,0.0,0.0,0.0,0.0,2.0,5660104,1.0,3830176,7490000,19,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161923&gubun=K
4,현대 그랜저HG 300,110,102801,2,2999,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,7.0,11149558,3.0,8119080,9900000,30,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162103&gubun=K
5,현대 그랜저HG 240,111,76579,2,2359,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,5.0,8925726,6.0,4576700,10500000,35,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162053&gubun=K
6,현대 그랜저HG 240,77,76890,2,2359,흰색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,2.0,1227525,2.0,2336609,13300000,43,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162171&gubun=K
7,현대 그랜저HG 220,80,71711,2,2199,흰색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,,,,,,,,,,12700000,39,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162773&gubun=K
8,현대 그랜저HG 300,113,82342,2,2999,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,1.0,336408,1.0,1055570,10500000,32,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162813&gubun=K
9,현대 그랜저HG 240,109,82672,2,2359,흰색,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,4.0,7614774,1.0,4679400,11500000,38,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162884&gubun=K
10,현대 그랜저IG 3.0,39,17856,2,2999,회색,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,12082770,2.0,8686880,21490000,55,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163149&gubun=K
11,현대 그랜저HG 하이브리드,106,87315,가솔린/LPG겸용,2359,흰색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,3.0,0.0,0.0,0.0,0.0,2.0,13419780,1.0,1599770,14700000,39,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163548&gubun=K
12,현대 그랜저IG 3.0,51,47275,2,2999,회색,,,,,,,,,,,1,1.0,0.0,0.0,0.0,0.0,2.0,6179073,0.0,0,19400000,53,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163158&gubun=K
13,현대 그랜저IG 3.0,61,83103,1,2999,흰색,,,,,,,,,,,1,5.0,0.0,0.0,0.0,0.0,2.0,5125133,0.0,0,19900000,69,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163160&gubun=K
14,현대 더 럭셔리,156,152353,2,2656,흰색,,,,,,,,,,,1,2.0,0.0,0.0,0.0,0.0,2.0,1799876,0.0,0,5300000,17,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2156711&gubun=K
15,현대 그랜저IG 하이브리드,59,81957,가솔린 하이브리드,2359,검정색,,,,,,,,,,,1,1.0,0.0,0.0,0.0,0.0,1.0,4564258,0.0,0,24500000,62,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158316&gubun=K
16,현대 그랜저IG 3.0,53,4750,2,2999,검정색,,,,,,,,,,,1,1.0,0.0,0.0,0.0,0.0,4.0,22129773,3.0,13523025,21900000,60,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159425&gubun=K
17,현대 그랜저HG 300,134,86753,2,2999,검정색,,,,,,,,,,,1,1.0,0.0,0.0,0.0,0.0,6.0,11197373,4.0,10901793,8700000,26,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160451&gubun=K
18,현대 그랜저IG 2.4,49,94976,2,2359,검정색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,21500000,66,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2153763&gubun=K
19,현대 그랜저HG 300,119,33747,2,2999,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,1.0,286980,1.0,464400,15500000,47,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163327&gubun=K
20,현대 그랜저HG 300,114,180900,2,2999,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,3.0,1981920,0.0,0,8200000,25,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161935&gubun=K
21,현대 그랜저 뉴,164,265753,1,2656,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,4.0,3274363,6.0,2834910,3990000,15,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161119&gubun=K
22,현대 그랜저HG 300,80,89076,1,2999,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,2.0,1904690,0.0,0,11200000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160506&gubun=K
23,현대 그랜저HG 300,122,111306,2,2999,검정색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,5.0,0.0,0.0,0.0,0.0,2.0,5660104,1.0,3830176,7490000,19,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161923&gubun=K
24,현대 그랜저HG 300,110,102801,2,2999,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,7.0,11149558,3.0,8119080,9900000,30,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162103&gubun=K
25,현대 그랜저HG 240,111,76579,2,2359,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,5.0,8925726,6.0,4576700,10500000,35,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162053&gubun=K
26,현대 그랜저HG 240,77,76890,2,2359,흰색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,2.0,1227525,2.0,2336609,13300000,43,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162171&gubun=K
27,현대 그랜저HG 220,80,71711,2,2199,흰색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,,,,,,,,,,12700000,39,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162773&gubun=K
28,현대 그랜저HG 300,113,82342,2,2999,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,1.0,336408,1.0,1055570,10500000,32,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162813&gubun=K
29,현대 그랜저HG 240,109,82672,2,2359,흰색,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,4.0,7614774,1.0,4679400,11500000,38,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162884&gubun=K
